,run,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34
381,780002140101_S94_L001,432,602,318,776,42,41,42,322,1,59,3,148,0,25,131,57,3,24,2,9,5,0,0,0,0,0,14,12,15,5,1,1,0,1,2
382,050001170101_S110_L002,205,233,83,306,20,26,0,63,0,21,0,205,0,3,9,15,2,0,0,0,0,0,0,0,0,2,7,7,4,3,3,0,1,0,1
383,330000310807_S59_L001,0,1,243,0,19,6,60,88,0,45,3,142,0,31,117,21,3,14,4,9,0,0,0,0,0,0,0,0,8,5,2,1,0,0,0
384,440000270101_S176_L002,621,460,257,746,56,27,42,96,0,28,1,286,0,27,100,56,5,4,6,1,2,0,0,0,1,0,8,7,21,10,2,2,2,0,3
385,470002530808_S72_L001,0,0,2,0,0,1,1,16,0,10,0,126,0,2,7,1,0,1,1,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0
386,050000740101_S76_L001,475,449,132,666,19,66,2,97,0,43,1,194,0,7,88,25,2,7,0,0,1,0,0,0,0,1,4,7,5,2,1,1,0,0,0
387,330002050101_S172_L002,226,183,250,442,85,27,33,219,0,35,0,180,0,14,53,17,0,21,1,7,0,0,0,0,0,0,24,5,5,1,1,2,2,7,2
388,540003420101_S160_L002,334,302,137,588,48,41,27,65,0,17,2,133,0,4,16,18,1,3,1,2,2,0,0,2,0,0,10,6,9,4,0,0,1,0,0
389,330003060808_S80_L001,0,0,192,0,0,31,6,116,0,38,0,111,0,33,109,40,11,17,2,7,2,0,0,0,0,0,2,0,7,8,8,2,1,1,0
390,500001300807_S3_L001,0,0,91,0,0,14,9,147,1,66,1,134,0,18,44,36,3,5,1,0,0,0,0,0,2,0,8,0,2,3,0,0,0,1,0
391,020000330101_S185_L002,328,334,170,246,0,0,30,76,0,60,1,64,0,22,25,27,10,7,1,0,0,0,0,0,0,5,5,1,4,4,0,1,1,1,2
392,260004240101_S13_L001,506,439,49,570,36,15,1,92,0,36,1,449,16,10,49,15,1,1,0,0,0,0,0,0,0,0,2,1,21,6,2,2,0,0,5
393,690000110101_S59_L001,375,277,233,739,68,15,40,201,1,69,4,145,0,20,94,38,20,21,4,1,3,2,0,0,1,3,5,10,14,5,2,1,0,0,1
394,050002010101_S122_L002,226,280,200,485,17,2,16,32,0,35,1,107,0,20,44,27,2,4,1,4,2,2,0,0,0,0,3,13,1,4,2,1,1,2,0
395,230002180807_S176_L002,0,0,119,0,0,14,20,70,0,31,4,31,0,10,16,16,1,5,1,4,3,1,0,0,0,0,7,0,5,3,0,0,0,0,0
396,540002770807_S50_L001,0,0,99,0,0,15,23,116,0,38,0,83,0,2,63,7,4,1,1,1,0,0,0,0,0,0,2,0,3,2,0,3,0,4,0
397,260002910101_S9_L001,568,718,137,655,9,15,33,210,0,90,4,288,1,16,52,64,1,29,3,8,4,0,0,0,1,3,5,5,25,3,4,2,3,0,0
398,500000930101_S58_L001,881,627,297,1349,36,31,20,180,1,88,2,234,0,18,144,66,7,17,3,0,3,0,0,0,0,2,18,13,15,2,3,4,1,0,4
399,050000090101_S85_L001,567,425,403,801,154,32,71,364,2,109,4,286,0,28,116,42,11,21,4,7,2,0,0,0,0,0,3,6,14,6,2,0,1,2,3
400,330002760101_S140_L002,710,450,118,549,82,3,23,123,1,60,2,83,0,5,48,60,12,28,6,0,0,0,0,0,1,2,20,5,6,10,3,0,1,0,1
401,780004510101_S41_L001,250,325,156,391,45,15,2,76,2,42,0,42,0,31,59,17,0,3,0,2,0,0,0,0,1,6,11,5,6,3,1,0,1,0,1
402,050000550101_S84_L001,734,579,81,801,75,28,19,103,2,54,3,276,0,22,133,34,2,8,2,4,2,0,1,0,0,2,9,13,15,4,3,0,0,1,4
403,690001180101_S161_L002,596,468,214,490,88,3,29,144,1,53,4,406,21,29,50,31,4,4,2,6,3,0,0,1,0,10,9,3,16,3,1,1,0,0,2
404,780002510101_S92_L001,452,311,113,409,7,2,6,61,0,9,0,177,4,2,29,12,2,0,3,2,4,0,0,1,1,2,0,4,3,1,2,0,0,0,0
405,050001790101_S80_L001,565,510,233,647,25,5,41,275,1,52,0,387,0,25,117,48,2,24,3,2,1,1,1,0,0,15,8,15,19,8,4,1,1,2,5
406,270000160807_S47_L001,0,0,83,0,0,0,30,47,0,15,0,126,0,12,8,20,9,2,4,0,0,0,0,1,1,0,0,0,2,3,1,0,0,0,0
407,050001350101_S114_L002,346,352,146,309,33,14,35,165,1,38,1,124,0,15,68,26,12,0,4,8,1,0,0,0,1,0,4,10,10,1,2,0,0,1,3
408,780005280101_S44_L001,482,660,242,1006,52,14,44,158,1,113,5,427,0,26,83,33,2,10,0,5,2,0,0,0,0,12,19,21,17,11,6,0,0,1,1
409,260000240807_S152_L002,0,0,814,0,1,72,93,697,0,151,5,101,0,99,140,79,12,31,8,33,4,0,2,2,2,0,11,0,59,11,3,4,1,3,0
